,Size,en,cs,de,es,fr,ru,sr,bn,zh,ja,ko,ar,th,hu,vi,sw,te,avg,STD,GAP,max
Qwen-2.5-72B-Instruct,131072,100,94,96.25,74.75,62,53.96,69,63.03,48,46.9,99.6,80.45,,,,,,,,,
DeepSeek-V3,131072,100,96,97,94.5,55,53.35,61,52.52,51,46.04,99.2,81.7125,,,,,,,,,
gpt-4o-mini-2024-07-18,128000,100,97,94.25,93.25,67,52.62,59,48.95,60.5,39.52,96.4,83.425,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Ruler_hu,ctx_length,niah_single,niah_multikey,niah_multivalue,niah_multiquery,qaiah_single_em,qaiah_single_f1,qaiah_multikey_em,qaiah_multikey_f1,qaiah_multiquery_em,qaiah_multiquery_f1,vt,avearge,,,,,,,,,
llama3.1-8b-instruct,131072,99,93,69.25,67.5,55,46.16,51,48.8,34,26.96,75.4,68.01875,,,,,,,,,
qwen2.5-7b-instruct,131072,90,70,44.5,12.5,35,21.73,35,19.24,25,12.25,58.4,46.3,,,,,,,,,
Internlm2.5-7B-chat,131072,68,48,43.25,0.25,28,20.87,40,29.71,22,13.4,26.4,34.4875,,,,,,,,,
qwen2.5-32b-instruct,131072,100,96,90.75,73,58,41,63,41.55,46.5,35.68,99.2,78.30625,,,,,,,,,
Llama-3.1-70B-Instruct,131072,73,75,85.25,16.25,34,26.43,36,28.97,30,28.42,81.4,53.8625,,,,,,,,,
Llama-3.3-70B-Instruct,131072,85,57,82.5,8,25,19.67,28,21.11,22.5,17.43,85.4,49.175,,,,,,,,,
Qwen-2.5-72B-Instruct,131072,100,96,92.25,73.5,52,54.21,52,53.61,46,44.05,99.8,76.44375,,,,,,,,,
DeepSeek-V3,131072,100,93,97,98,61,49.73,58,50.13,52,43.01,100,82.375,,,,,,,,,
gpt-4o-mini-2024-07-18,128000,100,95,92.25,88.5,72,57.69,62,58.55,56.5,38.81,95.4,82.70625,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Ruler_sr,ctx_length,niah_single,niah_multikey,niah_multivalue,niah_multiquery,qaiah_single_em,qaiah_single_f1,qaiah_multikey_em,qaiah_multikey_f1,qaiah_multiquery_em,qaiah_multiquery_f1,vt,avearge,,,,,,,,,
llama3.1-8b-instruct,131072,99,96,73.75,74.75,44,43.96,45,40.06,35.5,27.76,82,68.75,,,,,,,,,
qwen2.5-7b-instruct,131072,84,75,54.5,35,38,23.94,38,26.18,26.5,17.51,57,51,,,,,,,,,
Internlm2.5-7B-chat,131072,57,49,68.5,1.75,27,21.06,32,22.54,11.5,10.66,30.4,34.64375,,,,,,,,,
qwen2.5-32b-instruct,131072,100,97,93.75,74,53,34.53,62,43.74,42.5,31.05,99.2,77.68125,,,,,,,,,
